Date,Malappuram-Angadipuram,Malappuram-Manjeri,Malappuram-Nilambur,Malappuram-Perinthalamanna,Malappuram-Ponnani,Malappuram-Tiruvangadi,Palakkad-Alathur,Palakkad-Alattur,Palakkad-Cherapalaseri,Palakkad-Mannarkad,Palakkad-Ottapalam,Malappuram-Palakkad,Palakkad-OBSY,Palakkad-Parli,Palakkad-Pattembi,Thrissur-Chalakudi,Thrissur-Enamakkal,Thrissur-Kodungallur,Thrissur-Mukundarpuram,Thrissur-Ollukara,Thrissur-Peechi,Thrissur-Thalipilly,Thrissur-Thrissur,Coimbatore-Anaimalai,Coimbatore-Attakatti,Coimbatore-Nirardam1,Coimbatore-Parambikulam,Coimbatore-Pollachi,Coimbatore-Sholiyarnagar,Coimbatore-Solayar,Coimbatore-Topslip,Coimbatore-Nirar,Coimbatore-Valparai,Palakkad-Chittur
1970-01-01,1.74,0.0,0.0,0.46,0.0,0.0,0.08,0.0,0.0,0.0,0.72,0.84,0.0,1.87,0.0,0.46,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.4,0.38,0.0,0.0,0.47,1.64,0.0,0.24,0.03,0.2
1970-01-02,0.0,0.37,0.0,0.0,0.0,0.0,0.53,0.61,0.0,0.0,0.18,0.0,3.2,0.0,0.0,3.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.0,2.47,0.0,0.0,1.77,0.33,0.0
1970-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.33,0.0,0.0,0.28,0.0,0.0
1970-01-04,0.0,0.0,0.0,0.0,0.17,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.58,0.0,0.0,1.03,1.0,0.0,1.12,0.13,0.0
1970-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.17,0.0,0.0,0.6,0.0,0.0
1970-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79,0.0,0.0,0.14,0.18,0.0,0.28,0.27,0.0
1970-01-07,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.11,0.0,0.0,0.24,0.26,0.0
1970-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.19,0.0,0.6,0.16,0.18,0.43
1970-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.5,0.0,0.0,0.09,0.0,0.24,0.1,0.0
1970-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0
