,0
1,Malappuram-Angadipuram
2,Malappuram-Manjeri
3,Malappuram-Nilambur
4,Malappuram-Perinthalamanna
5,Malappuram-Ponnani
6,Malappuram-Tiruvangadi
7,Palakkad-Alathur
8,Palakkad-Alattur
9,Palakkad-Cherapalaseri
10,Palakkad-Mannarkad
11,Palakkad-Ottapalam
12,Malappuram-Palakkad
13,Palakkad-OBSY
14,Palakkad-Parli
15,Palakkad-Pattembi
16,Thrissur-Chalakudi
17,Thrissur-Enamakkal
18,Thrissur-Kodungallur
19,Thrissur-Mukundarpuram
20,Thrissur-Ollukara
21,Thrissur-Peechi
22,Thrissur-Thalipilly
23,Thrissur-Thrissur
24,Coimbatore-Anaimalai
25,Coimbatore-Attakatti
26,Coimbatore-Nirardam1
27,Coimbatore-Parambikulam
28,Coimbatore-Pollachi
29,Coimbatore-Sholiyarnagar
30,Coimbatore-Solayar
31,Coimbatore-Topslip
32,Coimbatore-Nirar
33,Coimbatore-Valparai
34,Palakkad-Chittur
